1,09/10/2022,21:08,09/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la,USD,23710.0,23735.0,24015.0
2,09/10/2022,21:08,09/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Bảng Anh,GBP,26120.0,26278.0,26948.0
3,09/10/2022,21:08,09/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la Singapore,SGD,16442.0,16508.0,16891.0
4,09/10/2022,21:08,09/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la Hồng Kông,HKD,2983.0,2995.0,3089.0
5,09/10/2022,21:08,09/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Yên Nhật,JPY,162.25,162.4,169.04
6,09/10/2022,21:08,09/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la Úc,AUD,14948.0,15008.0,15593.0
7,09/10/2022,21:08,09/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la Canada,CAD,17099.0,17168.0,17574.0
8,09/10/2022,21:08,09/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Won Hàn Quốc,KRW,0.0,16.22,18.62
9,09/10/2022,21:08,09/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Franc Thuỵ Sĩ,CHF,23691.0,23786.0,24434.0
10,09/10/2022,21:08,09/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Baht Thái,THB,618.0,620.0,655.0
11,09/10/2022,21:08,09/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Ðô la New Zealand,NZD,0.0,13258.0,13751.0
12,09/10/2022,21:08,09/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Đô la,USD,23760.0,23760.0,24040.0
13,09/10/2022,21:08,09/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Bảng Anh,GBP,26156.0,26314.0,27279.0
14,09/10/2022,21:08,09/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Euro,EUR,22980.0,23043.0,24042.0
15,09/10/2022,21:08,09/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Đô la Singapore,SGD,16367.0,16466.0,16945.0
16,09/10/2022,21:08,09/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Nhân dân tệ,CNY,0.0,3305.0,3414.0
17,09/10/2022,21:08,09/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Đô la Hồng Kông,HKD,2982.0,3003.0,3087.0
18,09/10/2022,21:08,09/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Yên Nhật,JPY,161.19,162.16,169.41
19,09/10/2022,21:08,09/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Đô la Úc,AUD,14970.0,15061.0,15555.0
20,09/10/2022,21:08,09/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Đô la Canada,CAD,17027.0,17130.0,17664.0
21,09/10/2022,21:08,09/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Won Hàn Quốc,KRW,15.14,0.0,17.72
22,09/10/2022,21:08,09/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Rúp Nga,RUB,0.0,352.0,451.0
23,09/10/2022,21:08,09/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Franc Thuỵ Sĩ,CHF,23650.0,23793.0,24526.0
24,09/10/2022,21:08,09/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Krona Thuỵ Điển,SEK,0.0,2109.0,2178.0
