1,Vietcombank	 
2,Agribank	 
3,ACB	 
4,Vietinbank	 
5,BIDV	 
6,Dong A
7,SCB	 
8,HSBC	 
9,NCB	 
10,Sacombank	 
11,TPBank	 
12,EximBank	 
13,VIB	 
14,SHB	 
15,OCB	 
16,Shinhan Bank	 
17,Vietbank	 
18,PG Bank	 
19,MSB	 
20,ABBank	 
21,Citibank	 
22,MBBank	 
23,LienVietPostBank	 
24,SeABank	 
25,Standard Chartered	 
26,PVcomBank	 
27,ANZ	 
28,Co-opbank	 
29,BIDC	 
30,UOB	 
31,First Bank	 
32,Woori Bank	 
33,Nam A Bank	 
34,Saigonbank	 
35,Bac A Bank	 
36,HDBank	 
37,Viet Capital Bank	 
38,VietABank	 
39,GPBank	 
40,KienLong Bank	 
41,OceanBank	 
42,CBBank	 
43,BAOVIET Bank	 
44,VBSP	 
45,VDB	 
46,Public Banz Nam	 
47,Indovina Bank	 
48,VRB	 
49,HongLeong Bank	 
